,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_mean,NDVI_stdDev,NDVI_min,NDVI_max,EVI_p25,EVI_p50,EVI_p75,EVI_mean,EVI_stdDev,EVI_min,EVI_max,SAR_mean,SAR_stdDev,SAR_p25,SAR_p50,SAR_p75,SAR_min,SAR_max,NBR_mean,NBR_stdDev,NBR_p25,NBR_p50,NBR_p75,NBR_min,NBR_max,Event
1993,-53.32443383,-57.88686189,-57.83610544,-58.37998193,-7.16669417,-21.46477131,-82.45024303,-127.7393111,-143.2878569,-143.2878569,-143.2298899,-16.56284417,-434.3648727,-168.6814661,0.120609166,0.363900815,0,0,0,0,2,-30.7479223,-9.693606032,-24.19395527,-29.65923208,-29.60480119,-1.814066436,-67.29404404,1
1994,-8.326719333,-11.02265285,-10.99943109,-11.3009778,-10.65115496,16.78521394,-71.8020317,-11.17792751,-15.87454898,-15.84328151,-16.93734461,-17.46496037,21.96280901,-169.9710661,0.188107167,0.464611599,0,0,0,0,2,-28.15737736,-27.61344014,-11.09658002,-16.13060098,-16.08369923,-2.158559711,-95.12567993,1
1995,-50.88241527,-56.29113061,-56.23673846,-56.38448873,-12.16517947,-2.040944817,-86.10527638,-118.6413833,-134.2558727,-126.9328239,-134.9358386,37.04674659,-1792.605042,1717.673917,0.067957178,0.281702215,0,0,0,0,2,-31.08083905,-13.24746462,-21.20680531,-28.17546403,-28.10917044,2.371325635,-71.67529738,1
1996,-7.946908781,-9.094852752,-9.071488308,-9.363769804,-8.286570483,14.8054357,-56.14474418,-18.8107347,-18.8107347,-18.8107347,-23.11394188,-32.20380401,758.7270341,-825,0.04918534,0.261387635,0,0,0,0,2,-12.52300264,-7.255246817,-8.344159961,-9.884518503,-9.845218548,2.516089218,-51.88697064,1
1997,-52.82346429,-59.05525063,-58.98131954,-60.65414236,-10.552376,-24.35909566,-87.64536182,-127.7961357,-149.5330626,-149.2523371,-151.2775535,-32.39723685,-48.48440019,-267.1075739,0.0492582,0.255866873,0,0,0,0,2,-30.61046627,-15.46663203,-18.74776931,-26.47648889,-26.3476435,16.48052064,-70.09301863,1
1998,-50.14568752,-59.00863837,-58.9184187,-57.57610816,-11.52637923,-19.31083533,-80.3662324,-97.13323516,-120.3505814,-120.0928282,-119.2390894,-32.05434696,-30.06774122,-201.0401837,0.048035448,0.219642284,0,0,0,0,2,-45.38801047,-12.16848304,-36.97812234,-46.2638014,-46.16279961,-5.880771116,-69.49459237,1
1999,-15.66631186,-19.92658545,-19.88338287,-19.94847853,-6.258188862,-1.597028838,-65.29034823,-26.7328874,-32.88448616,-32.82186007,-33.28668394,-10.55563224,-3.22002139,-138.7466667,0.01081239,0.128001907,0,0,0,0,2,-11.60744874,-7.251980253,-6.389279779,-11.01667393,-10.95791766,8.291751689,-58.45939436,1
2000,-53.32443383,-57.88686189,-57.83610544,-58.37998193,-7.16669417,-21.46477131,-82.45024303,-127.7393111,-143.2878569,-143.2878569,-143.2298899,-16.56284417,-434.3648727,-168.6814661,0.120609166,0.363900815,0,0,0,0,2,-30.7479223,-9.693606032,-24.19395527,-29.65923208,-29.60480119,-1.814066436,-67.29404404,1
2001,-10.43156423,-13.49356918,-12.99329705,-31.55542909,-30.26058377,56.86742468,-84.22333371,-19.4622216,-31.90898487,-30.55754756,-84.59926164,-132.5995457,1392.800098,-4186.412873,0.062364402,0.290176891,0,0,0,0,2,-24.66541797,-25.15282976,-1.749841253,-12.57323278,-12.18276455,6.333201599,-73.14952108,1
2002,-16.04538459,-18.74386242,-18.70861314,-19.39344723,-5.949451432,-6.598938932,-72.68333654,-21.26705809,-25.15984444,-25.10538709,-26.68091962,-9.6944446,-9.143206553,-159.2795844,0.12445599,0.410395788,0,0,0,0,2,-12.00087033,-6.981924685,-7.175374703,-11.42123898,-11.37423705,8.69438375,-58.78484268,1
